,Type,Air temperature [°C],Process temperature [°C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference [°C]
0,M,25.950000000000045,36.450000000000045,1551,42.8,0,0,0,0,0,0,0,10.5
1,L,26.05000000000001,36.55000000000001,1408,46.3,3,0,0,0,0,0,0,10.5
2,L,25.950000000000045,36.35000000000002,1498,49.4,5,0,0,0,0,0,0,10.399999999999977
3,L,26.05000000000001,36.450000000000045,1433,39.5,7,0,0,0,0,0,0,10.400000000000034
4,L,26.05000000000001,36.55000000000001,1408,40.0,9,0,0,0,0,0,0,10.5
5,M,25.950000000000045,36.450000000000045,1425,41.9,11,0,0,0,0,0,0,10.5
6,L,25.950000000000045,36.450000000000045,1558,42.4,14,0,0,0,0,0,0,10.5
7,L,25.950000000000045,36.450000000000045,1527,40.2,16,0,0,0,0,0,0,10.5
8,M,26.150000000000034,36.55000000000001,1667,28.6,18,0,0,0,0,0,0,10.399999999999977
9,M,26.350000000000023,36.85000000000002,1741,28.0,21,0,0,0,0,0,0,10.5
10,H,26.25,36.75,1782,23.9,24,0,0,0,0,0,0,10.5
11,H,26.450000000000045,36.950000000000045,1423,44.3,29,0,0,0,0,0,0,10.5
12,M,26.450000000000045,36.950000000000045,1339,51.1,34,0,0,0,0,0,0,10.5
13,M,26.450000000000045,37.05000000000001,1742,30.0,37,0,0,0,0,0,0,10.599999999999966
14,L,26.450000000000045,37.05000000000001,2035,19.6,40,0,0,0,0,0,0,10.599999999999966
15,L,26.450000000000045,37.05000000000001,1542,48.4,42,0,0,0,0,0,0,10.599999999999966
16,M,26.450000000000045,37.05000000000001,1311,46.6,44,0,0,0,0,0,0,10.599999999999966
17,M,26.55000000000001,37.05000000000001,1410,45.6,47,0,0,0,0,0,0,10.5
18,H,26.650000000000034,37.05000000000001,1306,54.5,50,0,0,0,0,0,0,10.399999999999977
19,M,26.75,37.150000000000034,1632,32.5,55,0,0,0,0,0,0,10.400000000000034
20,H,26.75,37.150000000000034,1375,42.7,58,0,0,0,0,0,0,10.400000000000034
21,L,26.650000000000034,37.150000000000034,1450,44.8,63,0,0,0,0,0,0,10.5
22,M,26.75,37.150000000000034,1581,30.7,65,0,0,0,0,0,0,10.400000000000034
23,L,26.850000000000023,37.25,1758,25.7,68,0,0,0,0,0,0,10.399999999999977
24,M,26.850000000000023,37.25,1561,37.3,70,0,0,0,0,0,0,10.399999999999977
25,L,26.850000000000023,37.35000000000002,1861,23.3,73,0,0,0,0,0,0,10.5
26,L,26.950000000000045,37.35000000000002,1512,39.0,75,0,0,0,0,0,0,10.399999999999977
27,H,26.950000000000045,37.25,1811,24.6,77,0,0,0,0,0,0,10.299999999999955
28,L,26.950000000000045,37.25,1439,44.2,82,0,0,0,0,0,0,10.299999999999955
29,L,26.850000000000023,37.25,1693,30.1,84,0,0,0,0,0,0,10.399999999999977
30,M,26.950000000000045,37.35000000000002,1339,48.2,86,0,0,0,0,0,0,10.399999999999977
31,L,26.850000000000023,37.25,1798,25.5,89,0,0,0,0,0,0,10.399999999999977
32,L,26.850000000000023,37.25,1419,48.3,91,0,0,0,0,0,0,10.399999999999977
33,L,26.75,37.150000000000034,1665,32.5,93,0,0,0,0,0,0,10.400000000000034
34,M,26.650000000000034,36.950000000000045,1559,34.7,95,0,0,0,0,0,0,10.300000000000011
35,M,26.650000000000034,37.05000000000001,1452,48.6,98,0,0,0,0,0,0,10.399999999999977
36,M,26.75,37.05000000000001,1581,36.7,101,0,0,0,0,0,0,10.300000000000011
37,L,26.650000000000034,36.950000000000045,1439,39.2,104,0,0,0,0,0,0,10.300000000000011
38,H,26.75,37.05000000000001,1379,50.7,106,0,0,0,0,0,0,10.300000000000011
39,L,26.650000000000034,36.950000000000045,1350,52.5,111,0,0,0,0,0,0,10.300000000000011
40,L,26.650000000000034,36.950000000000045,1362,45.4,113,0,0,0,0,0,0,10.300000000000011
41,L,26.650000000000034,36.950000000000045,1368,50.8,115,0,0,0,0,0,0,10.300000000000011
42,M,26.650000000000034,36.950000000000045,1368,49.1,117,0,0,0,0,0,0,10.300000000000011
43,H,26.650000000000034,37.05000000000001,1372,48.5,120,0,0,0,0,0,0,10.399999999999977
44,M,26.650000000000034,36.950000000000045,1472,47.5,125,0,0,0,0,0,0,10.300000000000011
45,L,26.650000000000034,36.950000000000045,1489,49.1,128,0,0,0,0,0,0,10.300000000000011
46,M,26.55000000000001,36.85000000000002,1843,25.8,130,0,0,0,0,0,0,10.300000000000011
47,L,26.650000000000034,36.950000000000045,1418,46.3,133,0,0,0,0,0,0,10.300000000000011
48,H,26.650000000000034,37.05000000000001,1425,53.9,135,0,0,0,0,0,0,10.399999999999977
49,M,26.75,37.05000000000001,1412,44.1,140,0,0,0,0,0,0,10.300000000000011
50,L,26.75,36.950000000000045,2861,4.6,143,1,0,0,1,0,0,10.200000000000045
51,L,26.75,36.950000000000045,1383,54.9,145,0,0,0,0,0,0,10.200000000000045
52,H,26.650000000000034,36.85000000000002,1497,43.8,147,0,0,0,0,0,0,10.199999999999989
53,L,26.55000000000001,36.85000000000002,1565,35.1,152,0,0,0,0,0,0,10.300000000000011
54,L,26.55000000000001,36.85000000000002,1691,30.1,154,0,0,0,0,0,0,10.300000000000011
55,L,26.650000000000034,36.950000000000045,1512,40.7,156,0,0,0,0,0,0,10.300000000000011
56,L,26.650000000000034,36.950000000000045,1477,42.4,158,0,0,0,0,0,0,10.300000000000011
57,L,26.650000000000034,36.950000000000045,1513,40.3,160,0,0,0,0,0,0,10.300000000000011
58,M,26.650000000000034,36.85000000000002,1661,29.5,162,0,0,0,0,0,0,10.199999999999989
59,L,26.650000000000034,36.950000000000045,1378,54.4,165,0,0,0,0,0,0,10.300000000000011
60,L,26.650000000000034,36.950000000000045,1393,52.6,167,0,0,0,0,0,0,10.300000000000011
61,M,26.650000000000034,36.85000000000002,1592,38.2,169,0,0,0,0,0,0,10.199999999999989
62,L,26.650000000000034,36.85000000000002,1829,22.9,172,0,0,0,0,0,0,10.199999999999989
63,M,26.75,36.85000000000002,1812,25.9,174,0,0,0,0,0,0,10.100000000000023
64,L,26.850000000000023,36.950000000000045,1523,38.6,177,0,0,0,0,0,0,10.100000000000023
65,L,26.850000000000023,36.950000000000045,1394,45.1,179,0,0,0,0,0,0,10.100000000000023
66,M,26.75,36.75,1679,28.7,181,0,0,0,0,0,0,10.0
67,H,26.650000000000034,36.75,1466,44.1,184,0,0,0,0,0,0,10.099999999999966
68,L,26.650000000000034,36.75,1527,32.4,189,0,0,0,0,0,0,10.099999999999966
